,audit,happiness,maxDances,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
maxDancers,,,,19,10,14,16,13,15,11,12,15,11,19,15,12,15,12,18,14,18,12,16
minDancers,,,,12,9,10,9,10,9,11,10,13,8,15,15,8,15,9,14,10,12,9,14
practiceTime,,,,Monday 0PM,Monday 0PM,Monday 1PM,Monday 2PM,Monday 3PM,Monday 3PM,Monday 4PM,Monday 5PM,Monday 6PM,Monday 6PM,Monday 7PM,Monday 8PM,Monday 9PM,Monday 9PM,Monday 10PM,Monday 11PM,Monday 12PM,Monday 12PM,Monday 13PM,Monday 14PM
happiness,,,,3.170634920634921,1.6388888888888884,4.152777777777778,6.555023923444976,4.488888888888889,4.9393939393939394,0.06734006734006748,1.1742424242424248,1.666666666666666,3.9595959595959602,1.6309523809523814,-5.661764705882353,5.037037037037036,-12.349376114081997,5.984126984126984,-3.6240740740740742,4.822222222222222,4.5508771929824565,5.678571428571429,-5.474074074074074
A0,No,0.6391511932854699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10,No,0.24369580448359884,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A100,No,1.1838106958915637,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A101,No,0.772329751303047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A102,No,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104,No,0.349862540476811,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A105,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106,No,0.36084880671453023,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A107,No,0.36084880671453023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A108,No,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
